strategy	budget	selected_count	subset_diversity	domain_pass_rate	mean_constraint_score	mean_conservation_score	mean_novelty_score	mean_uniqueness_score
weighted_sum	10	10	0.6557094694	1	0.8272727273	0.8391304348	0.306148509	0.9062983642
pareto	10	10	0.833326619	0.7	0.5282296651	0.652173913	0.5130601392	0.8502456143
dimension_round_robin	10	10	0.8114735282	0.6	0.4342105263	0.6782608696	0.5110216086	0.843699469
weighted_sum	20	20	0.6120748391	1	0.6625598086	0.8739130435	0.2909051644	0.9101657588
pareto	20	20	0.8503060318	0.6	0.3776780699	0.6065217391	0.569346485	0.8540860782
dimension_round_robin	20	20	0.8258554432	0.55	0.3801367607	0.6217391304	0.5488908595	0.8370821412
weighted_sum	50	50	0.8429590305	0.54	0.3097311922	0.6095652174	0.5271227886	0.9088425081
pareto	50	50	0.8612233205	0.44	0.2529369338	0.5356521739	0.6128190783	0.8459729198
dimension_round_robin	50	50	0.8397233693	0.54	0.3062753682	0.5982608696	0.5485689097	0.8481075781
