sample	weight_constraint_score	weight_conservation_score	weight_novelty_score	weight_uniqueness_score	top_k_jaccard	rank_spearman
1	0.257591926298	0.226476333549	0.265451842716	0.250479897438	1	0.999327676637
2	0.197247491451	0.280269502942	0.260067696899	0.262415308708	0.818181818182	0.970004657662
3	0.215481991396	0.248113650267	0.240054981846	0.296349376491	0.818181818182	0.985119782912
4	0.260806173878	0.278453560484	0.241032533602	0.219707732036	1	0.995480042931
5	0.253488930191	0.204790551881	0.280583053812	0.261137464117	1	0.995698750532
6	0.25127359469	0.214507390467	0.270643301328	0.263575713515	1	0.996776087969
7	0.292968812678	0.231415388543	0.260105318229	0.215510480551	0.904761904762	0.991956420486
8	0.204205598495	0.254326829938	0.260176638672	0.281290932895	0.818181818182	0.969599643588
9	0.248610126507	0.253381142885	0.263973638652	0.234035091956	1	0.999441080578
10	0.224146822176	0.260536076315	0.234353544303	0.280963557206	0.904761904762	0.995293736457
11	0.237020273204	0.275486380119	0.262608812871	0.224884533806	1	0.998768757214
12	0.274634569281	0.271968429901	0.231505632347	0.221891368471	0.904761904762	0.989502035196
13	0.2970806822	0.236973044923	0.243635163078	0.222311109799	0.904761904762	0.98647252992
14	0.254800562485	0.243639727967	0.247325569956	0.254234139592	1	0.999700289585
15	0.264912734616	0.276744840759	0.230532285789	0.227810138835	1	0.993041858205
16	0.254868263911	0.236022823028	0.245014445848	0.264094467214	1	0.999829894089
17	0.262123078239	0.254050722594	0.254610617664	0.229215581502	1	0.997812923999
18	0.223396364468	0.268046595182	0.243611296047	0.264945744304	0.904761904762	0.995366638991
19	0.30268316931	0.236971737349	0.218340550303	0.242004543038	0.818181818182	0.98068892894
20	0.222755983287	0.258527835916	0.248341367978	0.270374812819	0.904761904762	0.992936554545
21	0.265061154683	0.239401132958	0.279954848096	0.215582864263	1	0.999214272696
22	0.217566186018	0.224808932375	0.292821380139	0.264803501469	0.818181818182	0.970336769203
23	0.227240391235	0.262964796332	0.226298353139	0.283496459294	0.904761904762	0.996751787125
