strategy	budget	selected_count	manual_review_count	mean_constraint_score	mean_conservation_score	mean_novelty_score	mean_uniqueness_score	subset_diversity_possible_pairs	subset_diversity_resolved_pairs	subset_diversity_resolved_fraction	subset_diversity_observed_mean	subset_diversity_lower_bound	subset_diversity_upper_bound
weighted_sum	10	10	3	0.95163934425	0.99130434782	0.330429470231	0.424164083434	45	33	0.733333333333	0.439534364451	0.322325200597	0.588991867264
pareto	10	10	2	0.5762295082	0.96086956522	0.405981492394	0.484712136718	45	35	0.777777777778	0.529442926321	0.411788942694	0.634011164916
dimension_round_robin	10	10	3	0.5786885246	0.97391304348	0.366438435278	0.45025904007	45	26	0.577777777778	0.498666184366	0.288118239856	0.710340462078
weighted_sum	20	20	4	0.896721311475	0.989130434775	0.307321043209	0.405128122739	190	151	0.794736842105	0.412172650531	0.327568790686	0.53283194858
pareto	20	20	6	0.60696721312	0.973913043475	0.375065227596	0.460115297112	190	146	0.768421052632	0.487424937938	0.374547583889	0.606126531257
dimension_round_robin	20	20	6	0.625409836075	0.97608695652	0.312139635658	0.417938325242	190	149	0.784210526316	0.453321627223	0.355499591875	0.571289065559
weighted_sum	50	50	18	0.87688524591	0.989565217388	0.230112228718	0.35892435244	1225	1132	0.924081632653	0.355417457529	0.328434744427	0.404353111774
pareto	50	50	19	0.645245901644	0.977391304342	0.306418985145	0.409512488665	1225	997	0.81387755102	0.439540974302	0.357732531738	0.543854980718
dimension_round_robin	50	50	19	0.66032786886	0.984347826084	0.267172954081	0.387538432132	1225	1033	0.843265306122	0.406691987569	0.342949243395	0.499683937273
